epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
173,1326.56,0.57485,0.40235,1.00102,0.98035,0.92647,0.95643,0.73908,0.88645,0.44269,1.22926,0.0008648,0.0008648,0.0008648
174,1332.44,0.53906,0.40358,0.97582,0.96523,0.91176,0.94169,0.74841,0.89245,0.44726,1.23705,0.0008582,0.0008582,0.0008582
175,1341.37,0.55339,0.39998,0.99216,0.96402,0.91176,0.95001,0.74924,0.87619,0.45262,1.22791,0.0008516,0.0008516,0.0008516
176,1349.25,0.54607,0.39345,0.95459,0.98304,0.88235,0.93354,0.73979,0.87927,0.4734,1.2298,0.000845,0.000845,0.000845
177,1355.24,0.56591,0.41822,0.98363,0.95,0.92647,0.94313,0.73851,0.88231,0.45967,1.23313,0.0008384,0.0008384,0.0008384
178,1364.52,0.55189,0.3866,0.97106,0.94929,0.89706,0.93849,0.73537,0.88967,0.47927,1.24654,0.0008318,0.0008318,0.0008318
179,1370.36,0.54693,0.39436,0.96862,0.94012,0.92358,0.95232,0.73345,0.91386,0.49952,1.28291,0.0008252,0.0008252,0.0008252
180,1378.6,0.53506,0.39962,0.95674,0.9655,0.92647,0.95682,0.74407,0.88524,0.44018,1.26345,0.0008186,0.0008186,0.0008186
181,1387.25,0.50999,0.39958,0.95636,0.96923,0.92637,0.94318,0.75123,0.85952,0.42885,1.24407,0.000812,0.000812,0.000812
182,1393.14,0.56366,0.42127,0.98094,0.96863,0.90811,0.93815,0.74631,0.82768,0.41095,1.2325,0.0008054,0.0008054,0.0008054
183,1401.7,0.51519,0.38124,0.95594,0.96425,0.89706,0.94513,0.75104,0.82629,0.44616,1.24752,0.0007988,0.0007988,0.0007988
